,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
933,[-0.14705882],[-0.07282282],[-0.05882353],[-0.13148789],[-0.08050604],[-0.29411765],[-0.18512111],[-0.37837838],[ 0.14705882],999
934,[-0.58044983],[-0.13434022],[-0.20588235],[-0.59775087],[-0.09625668],[-0.32352941],[-0.59948097],[-0.32352941],[-0.02941176],999
935,[-0.30968858],[-0.13461538],[-0.08823529],[-0.29930796],[-0.12880143],[-0.23529412],[-0.31314879],[-0.38461538],[ 0.08823529],999
936,[-0.42647059],[-0.05978706],[-0.14705882],[-0.47318339],[-0.01414141],[-0.26470588],[-0.46626298],[-0.3030303],[ 0.08823529],999
937,[-0.42128028],[-0.29814272],[-0.32352941],[-0.41608997],[-0.17491039],[-0.47058824],[-0.39705882],[-0.41935484],[-0.17647059],999
938,[-0.4316609],[-0.18845501],[-0.32352941],[-0.45588235],[-0.17888563],[-0.44117647],[-0.45934256],[-0.4516129],[-0.29411765],999
939,[-0.53633218],[-0.10833333],[-0.26470588],[-0.52249135],[-0.05673759],[-0.35294118],[-0.52768166],[-0.33333333],[ 0.],999
940,[-0.57698962],[-0.13242784],[-0.29411765],[-0.55622837],[-0.08102026],[-0.35294118],[-0.5683391],[-0.29032258],[-0.20588235],999
941,[-0.44290657],[-0.1025641],[-0.29411765],[-0.41868512],[-0.07246377],[-0.41176471],[-0.44290657],[-0.33333333],[-0.20588235],999
942,[-0.43944637],[-0.13558106],[ 0.],[-0.47404844],[-0.10336818],[-0.14705882],[-0.48442907],[-0.34146341],[ 0.17647059],999
943,[-0.45242215],[-0.14159892],[-0.26470588],[-0.4316609],[-0.06323877],[-0.29411765],[-0.45242215],[-0.36111111],[-0.11764706],999
944,[-0.26124567],[-0.14285714],[ 0.02941176],[-0.30103806],[-0.0952381],[-0.26470588],[-0.29411765],[-0.28571429],[ 0.11764706],999
945,[-0.35380623],[-0.2266129],[-0.41176471],[-0.37629758],[-0.14549045],[-0.5],[-0.37802768],[-0.4516129],[-0.20588235],999
946,[-0.32093426],[-0.06759907],[-0.20588235],[-0.30882353],[-0.03463203],[-0.23529412],[-0.32958478],[-0.27272727],[-0.02941176],999
947,[-0.41955017],[-0.15366795],[-0.20588235],[-0.44550173],[-0.0662614],[-0.32352941],[-0.42474048],[-0.34285714],[ 0.],999
948,[-0.39359862],[-0.22857143],[-0.23529412],[-0.39705882],[-0.18095238],[-0.35294118],[-0.40397924],[-0.37142857],[-0.05882353],999
949,[-0.43685121],[-0.05481728],[-0.08823529],[-0.43512111],[-0.07453416],[-0.17647059],[-0.41608997],[-0.35714286],[ 0.20588235],999
950,[-0.38148789],[-0.13863636],[-0.29411765],[-0.36764706],[-0.0719697],[-0.38235294],[-0.36937716],[-0.36363636],[-0.05882353],999
951,[-0.42301038],[-0.22453222],[-0.29411765],[-0.42301038],[-0.12837838],[-0.29411765],[-0.41782007],[-0.37837838],[ 0.],999
952,[-0.48615917],[-0.14414414],[-0.17647059],[-0.4532872],[-0.10077519],[-0.26470588],[-0.49480969],[-0.33333333],[ 0.05882353],999
953,[-0.4567474],[-0.04707934],[-0.17647059],[-0.41349481],[-0.05222734],[-0.29411765],[-0.47058824],[-0.29032258],[ 0.08823529],999
954,[-0.57958478],[-0.23344948],[-0.38235294],[-0.59342561],[-0.16770186],[-0.41176471],[-0.5899654],[-0.42857143],[-0.14705882],999
955,[-0.51384083],[ 0.02518428],[-0.11764706],[-0.52768166],[ 0.0213964],[-0.20588235],[-0.50346021],[-0.27027027],[ 0.05882353],999
956,[-0.40743945],[-0.13286713],[-0.26470588],[-0.43685121],[-0.1027668],[-0.38235294],[-0.43858131],[-0.36363636],[-0.02941176],999
